layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.243700,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.231800,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.246600,256,193,3.201875,3.175944,2.614250,2.573867
model.13.cv2.conv,0.268300,128,94,3.175944,3.144338,2.573867,2.560777
model.16.cv2.conv,0.288300,64,46,3.144338,3.039852,2.560777,2.536675
model.17.conv,0.303600,64,45,3.039852,3.023344,2.536675,2.526358
model.19.cv2.conv,0.269700,128,94,3.023344,2.960948,2.526358,2.457984
model.2.cv2.conv,0.220800,64,50,2.960948,2.891776,2.457984,2.449234
model.20.conv,0.299600,128,90,2.891776,2.875011,2.449234,2.407320
model.22.cv2.conv,0.272200,256,187,2.875011,2.846003,2.407320,2.334801
model.23.cv2.0.0.conv,0.304100,64,45,2.846003,2.725498,2.334801,2.315972
model.23.cv2.0.1.conv,0.306100,64,45,2.725498,2.668346,2.315972,2.307042
model.23.cv2.1.0.conv,0.289000,64,46,2.668346,2.627363,2.307042,2.281428
model.23.cv2.1.1.conv,0.283600,64,46,2.627363,2.613568,2.281428,2.272806
model.23.cv2.2.0.conv,0.262000,64,48,2.613568,2.599104,2.272806,2.236646
model.23.cv2.2.1.conv,0.250500,64,48,2.599104,2.595923,2.236646,2.228694
model.23.cv3.0.0.1.conv,0.315800,80,55,2.595923,2.574003,2.228694,2.225269
model.23.cv3.0.1.1.conv,0.316200,80,55,2.574003,2.552243,2.225269,2.221869
model.23.cv3.1.0.1.conv,0.306900,80,56,2.552243,2.545139,2.221869,2.217429
model.23.cv3.1.1.1.conv,0.307500,80,56,2.545139,2.539878,2.217429,2.214141
model.23.cv3.2.0.1.conv,0.274000,80,59,2.539878,2.537543,2.214141,2.208303
model.23.cv3.2.1.1.conv,0.275300,80,58,2.537543,2.536311,2.208303,2.205223
model.3.conv,0.219500,64,50,2.536311,2.490167,2.205223,2.198013
model.4.cv2.conv,0.225700,128,100,2.490167,2.409706,2.198013,2.161249
model.5.conv,0.220400,128,100,2.409706,2.363607,2.161249,2.132437
model.6.cv2.conv,0.222700,128,100,2.363607,2.323422,2.132437,2.058937
model.7.conv,0.225300,256,199,2.323422,2.297042,2.058937,1.992988
model.8.cv2.conv,0.226200,256,199,2.297042,2.285346,1.992988,1.963747
model.9.cv2.conv,0.229700,256,198,2.285346,2.267505,1.963747,1.919145
