epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.138,1.75085,3.53066,1.67151,0.46693,0.09392,0.06049,0.03908,1.53769,2.59716,1.47007,0.0350081,0.00166577,0.00166577
2,985.084,1.43252,2.50809,1.36869,0.40382,0.2446,0.22944,0.15299,1.38423,1.95076,1.33162,0.0199878,0.00331212,0.00331212
3,1483.06,1.35819,2.10191,1.31076,0.47398,0.31981,0.32296,0.21728,1.32879,1.69912,1.28313,0.004887,0.00487799,0.00487799
4,1979.85,1.31904,1.91669,1.28526,0.52475,0.36629,0.37841,0.25723,1.28466,1.54996,1.25365,0.00473024,0.00473024,0.00473024
5,2477.95,1.28853,1.80736,1.2648,0.54621,0.3781,0.39867,0.27468,1.24707,1.48606,1.22705,0.00452732,0.00452732,0.00452732
6,2976.23,1.26891,1.74712,1.25192,0.56751,0.39369,0.41694,0.28761,1.23094,1.44166,1.21495,0.00427509,0.00427509,0.00427509
7,3474.62,1.25241,1.70449,1.24205,0.56608,0.40065,0.42799,0.29675,1.22024,1.41071,1.20665,0.00397977,0.00397977,0.00397977
8,3970.33,1.24082,1.66889,1.23414,0.58537,0.40153,0.43482,0.30175,1.21221,1.39482,1.20072,0.00364863,0.00364863,0.00364863
9,4466.59,1.23162,1.63843,1.229,0.59227,0.40566,0.44075,0.30663,1.20661,1.38095,1.19757,0.00328982,0.00328982,0.00328982
10,4960.19,1.22179,1.60656,1.22247,0.5898,0.40908,0.44403,0.30908,1.20381,1.37267,1.19531,0.00291218,0.00291218,0.00291218
11,5438.97,1.24832,1.51635,1.24808,0.60589,0.40486,0.44734,0.3117,1.20061,1.3651,1.19257,0.002525,0.002525,0.002525
12,5917.23,1.23554,1.48112,1.23711,0.60962,0.40614,0.45046,0.31444,1.19791,1.35728,1.19036,0.00213782,0.00213782,0.00213782
13,6392.16,1.22369,1.44911,1.2292,0.61295,0.40746,0.45312,0.31675,1.19577,1.35137,1.18839,0.00176018,0.00176018,0.00176018
14,6870.16,1.21097,1.41677,1.22137,0.61252,0.4096,0.45584,0.31883,1.19301,1.34567,1.18663,0.00140137,0.00140137,0.00140137
15,7346.11,1.20144,1.38943,1.21495,0.59532,0.41344,0.45849,0.32075,1.18996,1.3399,1.1841,0.00107023,0.00107023,0.00107023
16,7822.95,1.18885,1.36296,1.20762,0.59031,0.41951,0.46076,0.32301,1.188,1.33465,1.18248,0.000774911,0.000774911,0.000774911
17,8299.55,1.18145,1.33813,1.20137,0.59553,0.42149,0.46331,0.32498,1.18604,1.32949,1.1807,0.000522683,0.000522683,0.000522683
18,8776.3,1.17275,1.32046,1.19653,0.59429,0.42531,0.46526,0.32644,1.18437,1.32551,1.17923,0.000319759,0.000319759,0.000319759
19,9254.43,1.1669,1.3062,1.19352,0.60377,0.42539,0.46702,0.32784,1.18358,1.3217,1.17832,0.000171135,0.000171135,0.000171135
20,9731.24,1.16254,1.29559,1.18962,0.60468,0.42618,0.46803,0.32887,1.18256,1.31869,1.17726,8.04714e-05,8.04714e-05,8.04714e-05
