index,layer_name,ratio,out_channels_before,out_channels_after,GMACs_before,GMACs_after,MParams_before,MParams_after,mAP_50_95,mAP_50,precision,recall,weights_path
0,model.0.conv,0.85,16,3,3.275827,3.141376,2.624080,2.619959,0.098814,0.158257,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_00/yolo11n_pruned_layer00.pt
1,model.1.conv,0.85,32,5,3.275827,3.152794,2.624080,2.619274,0.007827,0.012365,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_01/yolo11n_pruned_layer01.pt
2,model.10.cv2.conv,0.85,256,39,3.275827,3.186423,2.624080,2.484766,0.104488,0.158880,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_02/yolo11n_pruned_layer02.pt
3,model.13.cv2.conv,0.85,128,20,3.275827,3.175258,2.624080,2.582392,0.189754,0.292406,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_03/yolo11n_pruned_layer03.pt
4,model.16.cv2.conv,0.85,64,10,3.275827,2.961677,2.624080,2.551666,0.258544,0.414057,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_04/yolo11n_pruned_layer04.pt
5,model.17.conv,0.85,64,10,3.275827,3.214829,2.624080,2.585956,0.330595,0.501509,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_05/yolo11n_pruned_layer05.pt
6,model.19.cv2.conv,0.85,128,20,3.275827,3.077280,2.624080,2.406676,0.195631,0.361648,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_06/yolo11n_pruned_layer06.pt
7,model.2.cv2.conv,0.85,64,10,3.275827,3.007642,2.624080,2.590276,0.001717,0.002639,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_07/yolo11n_pruned_layer07.pt
8,model.20.conv,0.85,128,20,3.275827,3.214915,2.624080,2.471800,0.314594,0.490041,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_08/yolo11n_pruned_layer08.pt
9,model.22.cv2.conv,0.85,256,39,3.275827,3.184427,2.624080,2.395579,0.206163,0.332874,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_85/layer_09/yolo11n_pruned_layer09.pt
