layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.001600,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.051500,128,122,3.244523,3.238945,2.615123,2.612813
model.16.cv2.conv,0.098000,64,58,3.238945,3.204116,2.612813,2.604779
model.17.conv,0.133400,64,56,3.204116,3.195784,2.604779,2.599571
model.19.cv2.conv,0.054900,128,121,3.195784,3.182937,2.599571,2.585494
model.2.cv2.conv,0.000000,64,63,3.182937,3.177996,2.585494,2.584869
model.20.conv,0.124100,128,113,3.177996,3.169920,2.584869,2.564679
model.22.cv2.conv,0.060800,256,241,3.169920,3.163614,2.564679,2.548914
model.23.cv2.0.0.conv,0.134400,64,56,3.163614,3.107346,2.548914,2.540122
model.23.cv2.0.1.conv,0.139000,64,56,3.107346,3.078213,2.540122,2.535570
model.23.cv2.1.0.conv,0.099500,64,58,3.078213,3.062219,2.535570,2.525574
model.23.cv2.1.1.conv,0.087000,64,59,3.062219,3.057523,2.525574,2.522639
model.23.cv2.2.0.conv,0.037200,64,62,3.057523,3.055326,2.522639,2.517147
model.23.cv2.2.1.conv,0.010600,64,63,3.055326,3.055077,2.517147,2.516524
model.23.cv3.0.0.1.conv,0.161500,80,68,3.055077,3.043634,2.516524,2.514736
model.23.cv3.0.1.1.conv,0.162400,80,68,3.043634,3.032191,2.514736,2.512948
model.23.cv3.1.0.1.conv,0.140900,80,69,3.032191,3.028460,2.512948,2.510616
model.23.cv3.1.1.1.conv,0.142300,80,69,3.028460,3.025820,2.510616,2.508966
model.23.cv3.2.0.1.conv,0.064700,80,75,3.025820,3.025156,2.508966,2.507306
model.23.cv3.2.1.1.conv,0.067700,80,75,3.025156,3.024844,2.507306,2.506526
model.3.conv,0.000000,64,63,3.024844,3.020799,2.506526,2.505894
model.4.cv2.conv,0.000000,128,127,3.020799,3.017925,2.505894,2.504581
model.5.conv,0.000000,128,127,3.017925,3.015890,2.504581,2.503309
model.6.cv2.conv,0.000000,128,127,3.015890,3.014455,2.503309,2.500684
model.7.conv,0.000000,256,255,3.014455,3.013895,2.500684,2.499284
model.8.cv2.conv,0.000000,256,255,3.013895,3.013690,2.499284,2.498771
model.9.cv2.conv,0.000000,256,255,3.013690,3.013382,2.498771,2.498002
