layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.000000,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.090000,64,59,3.243593,3.214569,2.614738,2.608043
model.17.conv,0.159900,64,54,3.214569,3.204009,2.608043,2.601443
model.19.cv2.conv,0.005100,128,127,3.204009,3.202174,2.601443,2.599432
model.2.cv2.conv,0.000000,64,63,3.202174,3.197233,2.599432,2.598807
model.20.conv,0.141500,128,110,3.197233,3.187153,2.598807,2.573607
model.22.cv2.conv,0.016700,256,252,3.187153,3.185472,2.573607,2.569403
model.23.cv2.0.0.conv,0.161900,64,54,3.185472,3.114560,2.569403,2.558323
model.23.cv2.0.1.conv,0.171000,64,54,3.114560,3.079296,2.558323,2.552813
model.23.cv2.1.0.conv,0.093000,64,59,3.079296,3.065536,2.552813,2.544213
model.23.cv2.1.1.conv,0.068400,64,60,3.065536,3.061721,2.544213,2.541829
model.23.cv2.2.0.conv,0.000000,64,63,3.061721,3.060583,2.541829,2.538984
model.23.cv2.2.1.conv,0.000000,64,63,3.060583,3.060330,2.538984,2.538352
model.23.cv3.0.0.1.conv,0.215300,80,63,3.060330,3.044010,2.538352,2.535802
model.23.cv3.0.1.1.conv,0.217000,80,63,3.044010,3.028343,2.535802,2.533354
model.23.cv3.1.0.1.conv,0.174600,80,67,3.028343,3.023809,2.533354,2.530520
model.23.cv3.1.1.1.conv,0.177300,80,66,3.023809,3.020494,2.530520,2.528448
model.23.cv3.2.0.1.conv,0.024500,80,79,3.020494,3.020356,2.528448,2.528105
model.23.cv3.2.1.1.conv,0.030500,80,78,3.020356,3.020228,2.528105,2.527785
model.3.conv,0.000000,64,63,3.020228,3.016184,2.527785,2.527153
model.4.cv2.conv,0.000000,128,127,3.016184,3.013310,2.527153,2.525840
model.5.conv,0.000000,128,127,3.013310,3.011275,2.525840,2.524568
model.6.cv2.conv,0.000000,128,127,3.011275,3.009840,2.524568,2.521943
model.7.conv,0.000000,256,255,3.009840,3.009280,2.521943,2.520543
model.8.cv2.conv,0.000000,256,255,3.009280,3.009074,2.520543,2.520030
model.9.cv2.conv,0.000000,256,255,3.009074,3.008767,2.520030,2.519261
