index,layer_name,ratio,out_channels_before,out_channels_after,GMACs_before,GMACs_after,MParams_before,MParams_after,mAP_50_95,mAP_50,precision,recall,weights_path
0,model.0.conv,0.1,16,15,3.275827,3.265485,2.624080,2.623763,0.391643,0.551852,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_00/yolo11n_pruned_layer00.pt
1,model.1.conv,0.1,32,29,3.275827,3.262157,2.624080,2.623546,0.346648,0.491104,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_01/yolo11n_pruned_layer01.pt
2,model.10.cv2.conv,0.1,256,231,3.275827,3.265527,2.624080,2.608030,0.386160,0.545036,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_02/yolo11n_pruned_layer02.pt
3,model.13.cv2.conv,0.1,128,116,3.275827,3.264653,2.624080,2.619448,0.387782,0.545401,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_03/yolo11n_pruned_layer03.pt
4,model.16.cv2.conv,0.1,64,58,3.275827,3.240922,2.624080,2.616034,0.378945,0.525655,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_04/yolo11n_pruned_layer04.pt
5,model.17.conv,0.1,64,58,3.275827,3.269050,2.624080,2.619844,0.391787,0.551818,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_05/yolo11n_pruned_layer05.pt
6,model.19.cv2.conv,0.1,128,116,3.275827,3.253766,2.624080,2.599924,0.388186,0.548463,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_06/yolo11n_pruned_layer06.pt
7,model.2.cv2.conv,0.1,64,58,3.275827,3.246029,2.624080,2.620324,0.383047,0.539954,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_07/yolo11n_pruned_layer07.pt
8,model.20.conv,0.1,128,116,3.275827,3.269059,2.624080,2.607160,0.391470,0.552060,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_08/yolo11n_pruned_layer08.pt
9,model.22.cv2.conv,0.1,256,231,3.275827,3.265297,2.624080,2.597755,0.388908,0.550578,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_09/yolo11n_pruned_layer09.pt
10,model.23.cv2.0.0.conv,0.1,64,58,3.275827,3.231514,2.624080,2.617156,0.391918,0.552917,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_10/yolo11n_pruned_layer10.pt
11,model.23.cv2.0.1.conv,0.1,64,58,3.275827,3.251174,2.624080,2.620228,0.391593,0.552646,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_11/yolo11n_pruned_layer11.pt
13,model.23.cv2.1.0.conv,0.1,64,58,3.275827,3.259219,2.624080,2.613700,0.392487,0.552735,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_13/yolo11n_pruned_layer13.pt
14,model.23.cv2.1.1.conv,0.1,64,58,3.275827,3.269664,2.624080,2.620228,0.390741,0.552502,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_14/yolo11n_pruned_layer14.pt
16,model.23.cv2.2.0.conv,0.1,64,58,3.275827,3.268910,2.624080,2.606788,0.391927,0.552978,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_16/yolo11n_pruned_layer16.pt
17,model.23.cv2.2.1.conv,0.1,64,58,3.275827,3.274286,2.624080,2.620228,0.384736,0.551842,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_17/yolo11n_pruned_layer17.pt
19,model.23.cv3.0.0.1.conv,0.1,80,72,3.275827,3.267789,2.624080,2.622824,0.391896,0.551900,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_19/yolo11n_pruned_layer19.pt
20,model.23.cv3.0.1.1.conv,0.1,80,72,3.275827,3.267533,2.624080,2.622784,0.391309,0.550699,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_20/yolo11n_pruned_layer20.pt
22,model.23.cv3.1.0.1.conv,0.1,80,72,3.275827,3.272998,2.624080,2.622312,0.389965,0.549498,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_22/yolo11n_pruned_layer22.pt
23,model.23.cv3.1.1.1.conv,0.1,80,72,3.275827,3.273754,2.624080,2.622784,0.389937,0.549233,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_23/yolo11n_pruned_layer23.pt
25,model.23.cv3.2.0.1.conv,0.1,80,72,3.275827,3.274710,2.624080,2.621288,0.390485,0.550987,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_25/yolo11n_pruned_layer25.pt
26,model.23.cv3.2.1.1.conv,0.1,80,72,3.275827,3.275309,2.624080,2.622784,0.385110,0.547341,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_26/yolo11n_pruned_layer26.pt
28,model.3.conv,0.1,64,58,3.275827,3.251174,2.624080,2.620228,0.386774,0.546708,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_28/yolo11n_pruned_layer28.pt
29,model.4.cv2.conv,0.1,128,116,3.275827,3.241267,2.624080,2.608312,0.363427,0.514625,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_29/yolo11n_pruned_layer29.pt
30,model.5.conv,0.1,128,116,3.275827,3.251213,2.624080,2.608696,0.387469,0.545967,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_30/yolo11n_pruned_layer30.pt
31,model.6.cv2.conv,0.1,128,116,3.275827,3.258586,2.624080,2.592568,0.378126,0.532672,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_31/yolo11n_pruned_layer31.pt
32,model.7.conv,0.1,256,231,3.275827,3.261727,2.624080,2.588830,0.390121,0.548543,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_32/yolo11n_pruned_layer32.pt
33,model.8.cv2.conv,0.1,256,231,3.275827,3.270687,2.624080,2.611230,0.385911,0.544052,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_33/yolo11n_pruned_layer33.pt
34,model.9.cv2.conv,0.1,256,231,3.275827,3.268127,2.624080,2.604830,0.380899,0.537744,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_10/layer_34/yolo11n_pruned_layer34.pt
