iter,map_50_95,gflops,cost,gate,ckpt
1,0.000082,6.116030,0.875865,HIGH,runs/opt_pruning_demo/iter_01/final/yolo11n_pruned_directed_full.pt
2,0.278125,5.980857,0.222892,OK,/content/runs/opt_pruning_demo/iter_02/ft/finetune/weights/last_pruned_full.pt
3,0.034656,6.101669,0.792357,HIGH,runs/opt_pruning_demo/iter_03/final/yolo11n_pruned_directed_full.pt
4,0.285166,5.917481,0.272187,OK,/content/runs/opt_pruning_demo/iter_04/ft/finetune/weights/last_pruned_full.pt
5,0.312194,5.996839,0.138773,OK,/content/runs/opt_pruning_demo/iter_05/ft/finetune/weights/last_pruned_full.pt
6,0.324719,6.015299,0.125860,OK,/content/runs/opt_pruning_demo/iter_06/ft/finetune/weights/last_pruned_full.pt
7,0.323486,6.015121,0.128150,OK,/content/runs/opt_pruning_demo/iter_07/ft/finetune/weights/last_pruned_full.pt
8,0.327885,6.019234,0.123464,OK,/content/runs/opt_pruning_demo/iter_08/ft/finetune/weights/last_pruned_full.pt
9,0.328911,6.022739,0.124916,OK,/content/runs/opt_pruning_demo/iter_09/ft/finetune/weights/last_pruned_full.pt
10,0.330276,6.024386,0.123835,OK,/content/runs/opt_pruning_demo/iter_10/ft/finetune/weights/last_pruned_full.pt
11,0.333015,6.026764,0.120733,OK,/content/runs/opt_pruning_demo/iter_11/ft/finetune/weights/last_pruned_full.pt
12,0.333015,6.026764,0.120733,OK,/content/runs/opt_pruning_demo/iter_12/ft/finetune/weights/last_pruned_full.pt
13,0.332313,6.018103,0.113477,OK,/content/runs/opt_pruning_demo/iter_13/ft/finetune/weights/last_pruned_full.pt
14,0.328848,6.019188,0.121493,OK,/content/runs/opt_pruning_demo/iter_14/ft/finetune/weights/last_pruned_full.pt
15,0.333542,6.023244,0.116159,OK,/content/runs/opt_pruning_demo/iter_15/ft/finetune/weights/last_pruned_full.pt
16,0.331039,6.014037,0.111958,OK,/content/runs/opt_pruning_demo/iter_16/ft/finetune/weights/last_pruned_full.pt
17,0.331105,6.008331,0.106120,OK,/content/runs/opt_pruning_demo/iter_17/ft/finetune/weights/last_pruned_full.pt
18,0.332127,6.012458,0.108203,OK,/content/runs/opt_pruning_demo/iter_18/ft/finetune/weights/last_pruned_full.pt
19,0.332212,6.014549,0.110126,OK,/content/runs/opt_pruning_demo/iter_19/ft/finetune/weights/last_pruned_full.pt
20,0.333980,6.014814,0.106854,OK,/content/runs/opt_pruning_demo/iter_20/ft/finetune/weights/last_pruned_full.pt
21,0.333370,6.027639,0.120899,OK,/content/runs/opt_pruning_demo/iter_21/ft/finetune/weights/last_pruned_full.pt
22,0.330750,6.017505,0.116005,OK,/content/runs/opt_pruning_demo/iter_22/ft/finetune/weights/last_pruned_full.pt
23,0.335664,6.030210,0.118881,OK,/content/runs/opt_pruning_demo/iter_23/ft/finetune/weights/last_pruned_full.pt
24,0.336193,6.011338,0.098952,OK,/content/runs/opt_pruning_demo/iter_24/ft/finetune/weights/last_pruned_full.pt
25,0.333567,6.013197,0.106064,OK,/content/runs/opt_pruning_demo/iter_25/ft/finetune/weights/last_pruned_full.pt
26,0.337300,6.024150,0.109551,OK,/content/runs/opt_pruning_demo/iter_26/ft/finetune/weights/last_pruned_full.pt
27,0.338048,6.026834,0.110738,OK,/content/runs/opt_pruning_demo/iter_27/ft/finetune/weights/last_pruned_full.pt
28,0.335768,6.013141,0.101606,OK,/content/runs/opt_pruning_demo/iter_28/ft/finetune/weights/last_pruned_full.pt
29,0.334726,6.003186,0.093734,OK,/content/runs/opt_pruning_demo/iter_29/ft/finetune/weights/last_pruned_full.pt
30,0.335366,6.027042,0.116310,OK,/content/runs/opt_pruning_demo/iter_30/ft/finetune/weights/last_pruned_full.pt
31,0.335848,6.015233,0.103538,OK,/content/runs/opt_pruning_demo/iter_31/ft/finetune/weights/last_pruned_full.pt
32,0.338151,6.015360,0.099059,OK,/content/runs/opt_pruning_demo/iter_32/ft/finetune/weights/last_pruned_full.pt
33,0.334133,6.013216,0.104950,OK,/content/runs/opt_pruning_demo/iter_33/ft/finetune/weights/last_pruned_full.pt
34,0.337295,6.012742,0.098152,OK,/content/runs/opt_pruning_demo/iter_34/ft/finetune/weights/last_pruned_full.pt
35,0.334650,6.011872,0.102573,OK,/content/runs/opt_pruning_demo/iter_35/ft/finetune/weights/last_pruned_full.pt
36,0.341127,6.017534,0.095280,OK,/content/runs/opt_pruning_demo/iter_36/ft/finetune/weights/last_pruned_full.pt
37,0.338501,6.010661,0.093660,OK,/content/runs/opt_pruning_demo/iter_37/ft/finetune/weights/last_pruned_full.pt
38,0.338501,6.010661,0.093660,OK,/content/runs/opt_pruning_demo/iter_38/ft/finetune/weights/last_pruned_full.pt
39,0.338501,6.010661,0.093660,OK,/content/runs/opt_pruning_demo/iter_39/ft/finetune/weights/last_pruned_full.pt
40,0.340812,6.012454,0.090830,OK,/content/runs/opt_pruning_demo/iter_41/ft/finetune/weights/last_pruned_full.pt
